title,stanza,textblob,vader
Aging_Conference_White_House,-0.115,0.196,1.0
African_Union_Address,0.02,0.199,1.0
911_Pentagon_Memorial_2009,0.024,0.122,0.998
Address_on_Libya,-0.356,0.11,0.995
Gun_Violence_Denver,-0.203,0.128,-0.998
Queensland_University,0.063,0.173,1.0
US_Intelligence_Program_Review_Outcome,-0.158,0.103,1.0
MLK_Memorial_Dedication,-0.178,0.137,1.0
Military_Strategy_Review,0.08,0.142,0.999
Aviation_Security,-0.163,0.098,0.999
General_McChrystal_Afghanistan,0.057,0.101,0.999
Senate_Floor_Coretta_King,0.038,0.221,0.997
NCTC_2015,0.011,0.199,0.999
New_Foundation_Georgetown,-0.298,0.09,1.0
Debt_Compromise_Remarks,-0.292,0.182,0.991
British_Parliament,-0.143,0.117,1.0
SSG_Bryan_Pitts_MOH,-0.053,0.128,1.0
State_of_the_Union_2014,-0.17,0.164,1.0
Repeal_Oil_and_Gas_Subsidies,-0.068,0.155,0.999
US_Military_Academy_Commencement_2014,-0.164,0.081,0.999
Prayer_Breakfast_2011,-0.042,0.146,1.0
Affordable_Care_Act_Logistical_Challenges,-0.117,0.189,1.0
West_Point_Commencement_2010,0.005,0.141,1.0
US_Air_Force_Commencement_Speech,0.011,0.144,1.0
Paris_Climate_Agreement,0.018,0.192,1.0
Tribal_Nations_Conference,0.052,0.151,1.0
Antonin_Scalia_Passing,0.087,0.333,0.998
Carnegie_Robotics_Center,0.123,0.229,1.0
NCCIC,-0.128,0.153,1.0
ISIL_Briefing_June_2016,-0.203,0.118,-1.0
Libya_Nation_Speech,-0.209,0.107,1.0
Naturalization_National_Archives,-0.042,0.163,1.0
European_Youth,-0.114,0.13,1.0
Second_Presidential_Election_Victory_Speech,-0.074,0.177,1.0
CIA_Intelligence_Community,0.068,0.195,1.0
Orlando_Shootings_Statement,-0.06,0.05,0.312
NASA_21st_Century,0.023,0.114,1.0
Orlando_Community,-0.03,0.178,-0.919
Iowa_Caucus_Victory_Speech,-0.189,0.087,0.998
Barack_Obama_-_ISIL_Update_02-25-16,-0.188,0.076,-0.999
Ted_Kennedy_Eulogy,0.065,0.22,1.0
Guantanamo_Bay_Closing,-0.174,0.126,0.999
Ferguson_and_Northern_Iraq,0.0,0.124,0.999
Libya_Violence_Must_Stop,-0.111,0.14,0.994
Announces_Commerce_Secretary_Designate,0.061,0.144,0.998
United_Nations_General_Assembly_2014,-0.216,0.082,-0.992
Recovery_and_Reinvestment_Act_2016,-0.075,0.194,1.0
Presser_XMas_Terrorist_Attempt,-0.164,0.056,0.992
State_of_the_Union_2012,-0.234,0.125,1.0
On_Counterterrorism_Approach_2016,-0.232,0.086,-1.0
Indonesia_University,0.053,0.189,1.0
Daniel_Inouye_Eulogy,0.125,0.242,1.0
Iran_Accord_Statement,-0.122,0.158,0.999
Holy_Cross_Interfaith_Prayer_Service,0.067,0.184,1.0
Economic_Crisis_and_Executive_Compensation_Salary_Cap,-0.226,0.122,0.95
Iraq_War_Veteran_Gala_Toast,0.129,0.261,1.0
Hillary_Clinton_Endorsement,0.129,0.358,0.999
United_Nations_on_Palestinian_Statehood,-0.102,0.105,1.0
Hradany_Square_Prague,-0.109,0.102,0.999
Barack_Obama_-_Dodd-Frank_Signing,-0.356,0.094,0.995
Prayer_Breakfast_2015,0.036,0.208,1.0
New_Economic_Team,0.074,0.169,0.999
Immigration_Senate_Call,-0.118,0.147,1.0
Senate_Floor_Speech_on_the_Patriot_Act,-0.28,0.085,0.938
Barack_Obama_-_13th_Amendment_150-Year_Anniversary,-0.213,0.1,0.999
Democrat_Caucus_Health_Care,-0.193,0.163,1.0
AIPAC_2012,-0.16,0.128,1.0
Speech_to_the_Vietnam_People,0.032,0.206,1.0
Paris_Terrorist_Attacks,0.031,0.131,0.923
Presidential_Victory_Speech,-0.063,0.143,1.0
Brookings_Institute,-0.232,0.087,1.0
NY_NJ_Explosions,-0.119,0.185,0.337
Civil_Society_Forum_Panama,-0.056,0.229,1.0
Dallas_Police_Memorial_Address,-0.215,0.12,0.998
2010_Budget_to_Congress,-0.402,0.084,0.999
Cuba_Policy_Changes,-0.064,0.124,1.0
USSC_Affordable_Care_Act_Ruling,-0.111,0.178,1.0
Howard_University_Commencement,-0.155,0.144,1.0
Europe_Peoples_Hannover,-0.085,0.156,1.0
ISIL_Force_Authorization_Request,-0.141,0.082,0.981
Indian_Parliament,0.015,0.145,1.0
Australian_Parliament,0.0,0.149,1.0
Iraq_Airstrikes_and_Humanitarian_Aid_New,-0.113,0.054,0.987
Cuba_People_Speech,-0.059,0.171,1.0
Defense_Dept_Personnel,0.243,0.174,1.0
Ebola_CDC,-0.08,0.149,1.0
United_Nations_GA_2015,-0.219,0.137,1.0
Counter_ISIL_Campaign_Update,-0.032,0.137,-0.988
National_Holocaust_Memorial_Museum,-0.128,0.135,0.956
Weekly_Address_Iraq_War_Service,0.0,0.209,0.983
Islamic_Society_Baltimore,-0.038,0.152,1.0
Debt_Compromise_Agreement,-0.143,0.112,0.997
Joplin_Tornado_Victims_Memorial,-0.06,0.145,0.999
Dangers_of_Default,-0.347,0.125,0.924
Iftar_Dinner_on_Religious_Tolerance,0.041,0.184,0.999
Second_Presidential_Inaugural_Address,-0.095,0.129,1.0
Mandela_Public_Memorial_Address,0.077,0.16,1.0
Afghanistan_War_Troop_Surge,-0.141,0.112,0.999
Student_Aid_Bill_of_Rights,-0.107,0.198,1.0
GWB_Library_Dedication,0.094,0.194,1.0
Countering_Violent_Religious_Extremism,-0.125,0.109,0.992
Summit_Americas_Plenary,-0.058,0.187,1.0
Barack_Obama_-_Weekly_Address_01-01-16,-0.068,0.08,-0.971
Rose_Garden_Economy_and_Deficit,-0.344,0.111,0.999
Barack_Obama_-_African-American_History_Museum_Dedication,0.022,0.17,1.0
Ghana_Parliament,-0.035,0.165,1.0
DDay_70,-0.093,0.163,1.0
Senate_Speech_Iraq_Federalism_Amendment,-0.354,0.016,-0.992
Odyssey_Dawn,-0.074,0.179,0.988
Flint_Michigan_Community,-0.187,0.167,1.0
Ebola_NIH_Research,0.006,0.164,1.0
Prayer_Breakfast_2010,-0.117,0.115,1.0
More_Perfect_Union,-0.275,0.091,-0.993
Hispanic_Chamber_of_Commerce,-0.132,0.174,1.0
Iraq_War_Camp_Lejeune,-0.028,0.17,1.0
Chemical_Weapons_Syria,-0.231,0.088,0.993
Jerusalem_Intl_Convention_Center_Speech,-0.042,0.152,1.0
Salvatore_Giunta_Medal_of_Honor,-0.061,0.116,0.998
Kennedy_Center_Honorees_2016,0.273,0.221,1.0
United_State_of_Women,-0.063,0.136,1.0
Lincoln_Bicentennial,-0.207,0.113,0.592
Pensacola_Military_Personnel,-0.05,0.146,1.0
Ted_Kennedy_Institute_Dedication,-0.06,0.149,1.0
Selma_50_March,-0.071,0.159,1.0
Reforming_Wall_Street,-0.281,0.102,0.999
First_Press_Conference,-0.132,0.09,0.984
Final_State_of_the_Union_Address,-0.181,0.119,1.0
Lincoln_Memorial,-0.029,0.174,0.999
Trayvon_Martin,-0.209,0.096,0.997
Tucson_Memorial_Address,0.02,0.181,1.0
Turkish_Parliament,0.024,0.157,1.0
New_Nationalism_at_Osawatomie_HS,-0.213,0.192,1.0
Stanford_Cybersecurity_Summit,0.026,0.202,1.0
Robert_Bryd_Eulogy,0.18,0.2,0.999
Fort_Campbell,0.077,0.198,0.999
Mexico_Address,0.06,0.205,1.0
Polish_Freedom_Day_25,0.046,0.18,1.0
Estonia_People,0.0,0.196,1.0
UN_High_Level_Libya,-0.011,0.126,1.0
No_Child_Left_Behind_Blueprint,0.093,0.139,1.0
United_Nations_General_Assembly,-0.178,0.079,1.0
Eulogy_West_Virginia_Coal_Miners,-0.042,0.164,0.999
UNGA_2010,-0.147,0.119,1.0
Beau_Biden_Eulogy,-0.043,0.182,1.0
Rosa_Parks,-0.125,0.09,0.994
FTC_2014,-0.05,0.164,1.0
DDay_65,-0.103,0.079,-0.892
Justice_Stevens_and_West_Virginia_Mining_Tragedy,-0.038,0.041,1.0
ISIL_,-0.055,0.123,0.991
Let_Freedom_Ring_Ceremony,-0.165,0.158,1.0
National_Wireless_Initiative,-0.004,0.198,1.0
Congress_Call_Health_Care_Reform,-0.194,0.131,0.999
Middle_East_Diplomacy,-0.18,0.114,1.0
Every_Student_Succeeds_Signing,0.078,0.219,1.0
Birth_Certificate_Release,-0.179,0.205,0.99
Inaugural_Address,-0.133,0.081,1.0
Fort_Hoot_Memorial,-0.009,0.146,1.0
911_After_15_Years,0.083,0.243,1.0
VFW_2012,-0.008,0.183,1.0
UN_Iran_Sanctions,-0.309,0.122,0.998
Wakefield_Back_to_High_School,-0.159,0.159,1.0
Health_Care_Bill_Passage,-0.186,0.131,0.998
Hiroshima_Peace_Memorial_Address,-0.146,0.122,-0.998
Clinton_Global_Initiative_Human_Trafficking,-0.052,0.145,1.0
Boston_Marathon_Bombing_Third_Statement,-0.088,0.129,0.994
Second_Democratic_Nomination_Acceptance,-0.169,0.139,1.0
Shimon_Peres_Memorial,-0.083,0.164,1.0
ASEAN_Business_2015,-0.05,0.164,1.0
Finance_Crisis_Fee,-0.412,0.08,0.987
Oval_Office_Counter_Terrorism_Agenda,-0.134,0.076,-1.0
Michigan_University_Commencement,-0.152,0.121,1.0
