,Date,Title,Relationship,Topic,Words_Related
0,2004-07-27,2004_DNC_Address,0.06418563512694278,faith--family,"['god', 'love', 'faith', 'family', 'prayer', 'child', 'father', 'grace', 'pray', 'tragedy']"
1,2004-07-27,2004_DNC_Address,0.067502833841901,elections,"['tonight', 'hillary', 'election', 'trump', 'little', 'house', 'win', 'white house', 'campaign', 'michelle']"
2,2005-01-06,Senate_Speech_on_Ohio_Electoral_Vote,0.13661916648535555,elections,"['tonight', 'hillary', 'election', 'trump', 'little', 'house', 'win', 'white house', 'campaign', 'michelle']"
3,2005-01-06,Senate_Speech_on_Ohio_Electoral_Vote,0.04504951871469746,supreme_court,"['court', 'supreme court', 'supreme', 'justice', 'law', 'judge', 'merrick', 'legal', 'garland', 'stevens']"
4,2005-04-21,Saudi_Arabia_Presser,0.16113870970867647,iran--nuclear_weapons,"['iran', 'nuclear', 'iranian', 'deal', 'nuclear weapon', 'weapon', 'sanction', 'program', 'nuclear program', 'iran nuclear']"
5,2005-04-21,Saudi_Arabia_Presser,0.17588913647452076,iraq--syria--terrorism,"['isil', 'syria', 'iraq', 'terrorist', 'iraqi', 'syrian', 'fighter', 'military', 'assad', 'coalition']"
6,2005-06-04,Knox_College_Commencement,0.0540067624210442,civil_rights,"['black', 'march', 'african', 'white', 'generation', 'justice', 'lincoln', 'story', 'civil', 'voting']"
7,2005-06-04,Knox_College_Commencement,0.1539587145749986,education,"['school', 'college', 'student', 'education', 'teacher', 'job', 'child', 'graduate', 'class', 'parent']"
8,2005-10-25,Rosa_Parks,0.08282010203503841,civil_rights,"['black', 'march', 'african', 'white', 'generation', 'justice', 'lincoln', 'story', 'civil', 'voting']"
9,2005-10-25,Rosa_Parks,0.005331189318705489,supreme_court,"['court', 'supreme court', 'supreme', 'justice', 'law', 'judge', 'merrick', 'legal', 'garland', 'stevens']"
10,2005-12-15,Senate_Floor_Speech_on_the_Patriot_Act,0.09769070393263149,homeland_security--terrorism,"['intelligence', 'terrorist', 'security', 'review', 'attack', 'homeland security', 'homeland', 'al qaeda', 'qaeda', 'information']"
11,2005-12-15,Senate_Floor_Speech_on_the_Patriot_Act,0.1170923918927203,supreme_court,"['court', 'supreme court', 'supreme', 'justice', 'law', 'judge', 'merrick', 'legal', 'garland', 'stevens']"
12,2006-01-31,Senate_Floor_Coretta_King,0.05431343581745068,education,"['school', 'college', 'student', 'education', 'teacher', 'job', 'child', 'graduate', 'class', 'parent']"
13,2006-01-31,Senate_Floor_Coretta_King,0.07016587187265654,civil_rights,"['black', 'march', 'african', 'white', 'generation', 'justice', 'lincoln', 'story', 'civil', 'voting']"
14,2006-07-20,Senate_Floor_Speech_on_Voting_Rights_Act_Renewal,0.10688623088423321,civil_rights,"['black', 'march', 'african', 'white', 'generation', 'justice', 'lincoln', 'story', 'civil', 'voting']"
15,2006-07-20,Senate_Floor_Speech_on_Voting_Rights_Act_Renewal,0.038590267533406955,supreme_court,"['court', 'supreme court', 'supreme', 'justice', 'law', 'judge', 'merrick', 'legal', 'garland', 'stevens']"
16,2007-01-16,Candidate_Exploratory_Announcement,0.03432624133810303,health_care,"['insurance', 'health', 'care', 'health care', 'health insurance', 'coverage', 'affordable', 'insurance company', 'cost', 'affordable care']"
17,2007-01-16,Candidate_Exploratory_Announcement,0.10013020158375606,elections,"['tonight', 'hillary', 'election', 'trump', 'little', 'house', 'win', 'white house', 'campaign', 'michelle']"
18,2007-02-10,Announces_Candidacy,0.09112366634524025,civil_rights,"['black', 'march', 'african', 'white', 'generation', 'justice', 'lincoln', 'story', 'civil', 'voting']"
19,2007-02-10,Announces_Candidacy,0.06803506980807174,education,"['school', 'college', 'student', 'education', 'teacher', 'job', 'child', 'graduate', 'class', 'parent']"
20,2007-03-13,Senate_Speech_Iraq_Federalism_Amendment,0.1990031122586202,iraq--afghanistan--war,"['iraq', 'afghanistan', 'afghan', 'war', 'troop', 'military', 'iraqi', 'al', 'qaeda', 'al qaeda']"
21,2007-03-13,Senate_Speech_Iraq_Federalism_Amendment,0.039687707427271963,iraq--syria--terrorism,"['isil', 'syria', 'iraq', 'terrorist', 'iraqi', 'syrian', 'fighter', 'military', 'assad', 'coalition']"
22,2007-03-21,Iraq_War_After_4_Years,0.19594829432021774,iraq--afghanistan--war,"['iraq', 'afghanistan', 'afghan', 'war', 'troop', 'military', 'iraqi', 'al', 'qaeda', 'al qaeda']"
23,2007-03-21,Iraq_War_After_4_Years,0.04321325474963592,memorial--war--peace--freedom--democracy,"['peace', 'war', 'human', 'nuclear', 'democracy', 'europe', 'africa', 'freedom', 'conflict', 'power']"
24,2007-05-23,Senate_Floor_Immigration_Reform,0.347230923903212,immigration,"['immigration', 'immigrant', 'border', 'undocumented', 'immigration reform', 'reform', 'citizenship', 'worker', 'illegally', 'business']"
25,2007-05-23,Senate_Floor_Immigration_Reform,0.010071098141440294,faith--family,"['god', 'love', 'faith', 'family', 'prayer', 'child', 'father', 'grace', 'pray', 'tragedy']"
26,2007-11-10,Barack_Obama_-_Jefferson-Jackson_Dinner,0.06596247201884733,health_care,"['insurance', 'health', 'care', 'health care', 'health insurance', 'coverage', 'affordable', 'insurance company', 'cost', 'affordable care']"
27,2007-11-10,Barack_Obama_-_Jefferson-Jackson_Dinner,0.1475089568464844,elections,"['tonight', 'hillary', 'election', 'trump', 'little', 'house', 'win', 'white house', 'campaign', 'michelle']"
28,2008-01-03,Iowa_Caucus_Victory_Speech,0.126961000381578,elections,"['tonight', 'hillary', 'election', 'trump', 'little', 'house', 'win', 'white house', 'campaign', 'michelle']"
