,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,title
0,0.0,0.032614409127461504,0.0,0.0,0.4134138517268633,0.0008657966842134715,0.0,0.0,0.0,0.0,0.002415419415612328,0.0,0.0,0.0,0.0,0.0008108596262343027,0.0,0.0,0.0,0.0020033457198122234,0.0,0.0,0.0,0.0,0.0,CGI_2013
1,0.017413552499459757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007048915034555171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011645596401244193,0.2536577116424451,0.13819241390743606,0.0,0.0,0.0,Prayer_Breakfast_2016
2,0.0,0.0,0.025156846975579995,0.0,0.0,0.01885333322817794,0.0,0.04683539914530221,0.09598338278679774,0.14829263846651947,0.03932492121306389,0.020746929168748658,0.0,0.015776053751780806,0.0,0.0,0.0,0.0023144026024859254,0.029316784565970828,0.005241189925998754,0.0,0.0,0.0328009002702843,0.016258188173654698,0.02283702399908783,Security_Team_Announcement
3,0.0,0.0,0.033944354982130207,0.0,0.0,0.003979866731294364,0.0,0.04983422872199022,0.03663589514738252,0.0,0.0,0.13619722322029149,0.0,0.0,0.008999036025676591,0.0,0.0,0.0,0.005492572660125907,0.0,0.0,0.41766467334809915,0.0,0.0,0.0,Cairo_University
4,0.0,0.0,0.0,0.0,0.0,0.0006193777247643112,0.2998215769342522,0.0,0.0,0.02901805977788073,0.008653026753763225,0.0,0.0,0.0,0.0,0.0,0.0006508532827208674,0.0,0.0,0.0008948286774105074,0.022732390576998267,0.0,0.0,0.0,0.0,Umpqua_Community_College_Shootings
5,0.0,0.0,0.0,0.0,0.0,0.00227085519400624,0.00705260281360244,0.0,0.0,0.007382585365193637,0.0,0.0,0.004475137950045109,0.0,0.009164397436949405,0.0,0.0,0.0020513161826357412,0.003799111476667559,0.0019619825801748926,0.03684900032227339,0.007726154787305173,0.3332829137295794,0.0,0.00576232681839288,White_House_Correspondent_Dinner_2013
6,0.0,0.0,0.0,0.00035855360402419195,0.0,0.0,0.007189858972134166,0.0,0.0,0.01824690060089969,0.005178517556094537,0.0,0.0,0.0022153372262940394,0.0,0.0,0.004862064943454755,0.36650084968848984,0.020082915099825297,0.0037967486048008474,0.0,0.0,0.04102417206754748,0.013238392789215538,0.0,Border_Security_and_Immigration_Reform
7,0.0,0.0,0.0036772034452501197,0.0,0.0,0.0,0.0,0.0,0.0,0.005775019749548174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3486703835627171,0.0,0.0,0.010044351697315044,0.0,0.0,0.0,0.0,Senate_Floor_Immigration_Reform
8,0.0,0.3337772676822713,0.007124597302243374,0.0,0.0,0.00861433098127828,0.006179477442167873,0.0,0.07117603430851861,0.04518797227825089,0.055578500522498915,0.0,0.0015690372935970687,0.08412394706624961,0.0,0.006410507187013128,0.016448178306785816,0.019032577010834294,0.0,0.0012693734645205718,0.0,0.0,0.0024647344911977436,0.0,0.0,Presser_on_the_Economy_and_Debt_Limit
9,0.008469052662292127,0.0,0.0,0.0,0.0,0.0,0.0,0.004782471814761801,0.0006114590364434956,0.0,0.0,0.0013101150492732078,0.0,0.0,0.018816805441619625,0.0,0.0,0.0,0.0,0.0,0.09144160434509839,0.0,0.11711602635349376,0.023042916718498656,0.0014085979662949632,Kennedy_Center_Honorees_2009
10,0.0,0.0071902060667733934,0.014516995468336387,6.772290295966704e-05,0.29966459526804595,0.0,0.0031279616951665258,0.0,0.0,0.039331270835727246,0.07052057204764,0.0,0.0,0.0,0.0,0.00371813470612683,0.002197439060079321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09156508466357854,Affordable_Care_Act_and_Domestic_Surveillance
11,0.0,0.06288311139912789,0.07206935231412276,0.08230397509647586,0.08161807812196292,0.029619310182049982,0.0009813445202726874,0.0,0.0,0.0,0.028531368188544844,0.0,0.004664085243191575,0.0,0.005645575262041888,0.008962088486715508,0.023336609828761633,0.16117912067780119,0.004179695774986412,0.018687344370991503,0.0,0.0,0.12432608728990945,0.0,0.0,Midterm_Elections_Presser_2014
12,0.0032042547439345105,0.0,0.0,0.0,0.0066068286712506795,0.0,0.0,0.0,0.0,0.0,0.011611903472941306,0.0,0.0,0.0,0.032058295999849294,0.405191835476992,0.0,0.0,0.0,0.014746286504339961,0.011850861723547499,0.03462079799690361,0.02981493882402402,0.0,0.0,YSEALI_Fellows
13,0.0,0.0037608063108696154,0.0,0.0018047219009858682,0.0,0.0,0.0,0.018397131365516045,0.0,0.0,0.0,0.057553811822017784,0.0,0.0017379533581384711,0.0016482739688485092,0.0,0.0004766267915739107,0.0,0.0,0.0,0.18194441844296586,0.0,0.0,0.003872088708659126,0.0001222095502121444,Holocaust_Days_of_Remembrance
14,0.0,0.0,0.022060656244581242,0.0,0.0,0.0,0.0,0.0,0.008049043276213096,0.0,0.0,0.015613430621094758,0.0,0.0,0.0,0.26497606686715586,0.122727696552122,0.0,0.0,0.0,0.001648126538288864,0.0,0.0,0.0,0.0,PM_Abe_of_Japan_Joint_Presser
15,0.0,0.0,0.008546583500998729,0.0,0.0,0.1414988727436318,2.8446432870355305e-05,0.032011734488924505,0.0,0.022288483405247913,0.002151596303182372,0.002867369912133786,0.0,0.016544644547128014,0.0,0.021917222817510892,0.016029429390890457,0.0,0.005820497893450179,0.0,0.0,0.0,0.0,0.0,0.00010972825358273848,UN_Copenhagen_Climate_Change
