title,var
Fixing_Immigration_Policy,0.06572032486475612
Rosa_Parks,0.03127720960601278
United_Nations_General_Assembly,0.046845481627895445
Farewell_to_Staff_and_Supporters,0.02731915339409053
Hurricane_Sandy_Red_Cross,0.0597913163949459
Health_Care_Bill_Passage,0.0407303497230519
Reforming_Wall_Street,0.046983493652058395
Student_Aid_Bill_of_Rights,0.07407150822969003
ASEAN_Business_2015,0.05589905774636101
Iraq_Airstrikes_and_Humanitarian_Aid_New,0.06100019268873111
Polish_Freedom_Day_25,0.05213604288802009
United_Nations_GA_2016,0.05115278804730792
UN_High_Level_Libya,0.03650810987488294
Barack_Obama_-_Jefferson-Jackson_Dinner,0.053339486108671584
VFW_2012,0.0564930776753033
Iraq_War_Camp_Lejeune,0.06407716585689748
Gun_Violence_Reduction_Steps,0.06825997331922286
Golden_State_Warriors,0.07737618403189572
Hispanic_Chamber_of_Commerce,0.06642752527734848
Orlando_Community,0.11778715152645759
Righteous_Among_Nations_Ceremony,0.061053411151122186
Jerusalem_Intl_Convention_Center_Speech,0.047397133723552504
Pearl_Harbor_Address,0.0644340486006752
Tribal_Nations_Conference,0.08681468886638026
White_House_Correspondent_Dinner_2014,0.06744062796096124
American_Legion_Conference,0.05755010687090963
Farewell_Address,0.07752142168728456
New_Economic_Team,0.032943695526737544
Afghanistan_Troop_Reduction,0.08168413720401775
Energy_Security_AAFB,0.050421234558982994
Howard_University_Commencement,0.05734312463498562
Ebola_CDC,0.06137733481334212
White_House_Correspondent_Dinner_2013,0.0776958060537597
911_After_15_Years,0.08341294229348066
Bagram_Air_Base_December_2010,0.05154826810682755
Antonin_Scalia_Passing,0.10450232364067949
ISIL_Pentagon_Update,0.044291671854772646
Booker_T_Washington,0.06752174771800266
Chemical_Weapons_Syria,0.04002953768799521
Knox_College_Economy,0.06766591652744244
Emil_Kapaun_Medal_of_Honor,0.09281996721940475
Ferguson_and_Northern_Iraq,0.08679883375829858
State_of_the_Union_2015,0.051890944641418316
Hankuk_University,0.05303067131248695
BRAIN_Initiative,0.05656205918166091
Auschwitz_and_Birkenau_Liberation_65th,0.0833541178096489
Middle_East_Diplomacy,0.04716642736845121
Trayvon_Martin,0.05843877569648705
National_Wireless_Initiative,0.05760165235631472
Flight_253_Terrorist_Attempt_Press_Statement,0.06872063162913838
Senate_Floor_Coretta_King,0.04503295101741019
FTC_2014,0.036387526472807935
Wakefield_Back_to_High_School,0.059525856068968465
Naval_Academy_Commencement,0.05612840660927501
UNGA_68th_Session,0.05119041403690933
Let_Freedom_Ring_Ceremony,0.0700634039084101
ISIL_,0.042491588418041445
Disabled_Veterans_Conference,0.06080869336734594
Fort_Hoot_Memorial,0.049678823084502846
Comprehensive_Immigration_Reform_Vegas,0.058101860302615216
Veterans_Day_Address_2013,0.06441135528159579
Shinzo_Abe_Presser_Japan,0.04456508384261923
GW_Fiscal_Policy,0.05296967241634981
White_House_Correspondents_Dinner_2016,0.07857358974521188
Osama_bin_Laden_Death,0.0735328649110696
Comprehensive_Immigration_Reform,0.0645092083745448
Gun_Violence_Exec_Order_23,0.04958575541134277
National_Holocaust_Memorial_Museum,0.05084257582365777
Jewish_American_Heritage_Month,0.07175963066453109
Muammar_Qaddafi_Death,0.055138263533312526
Prayer_Breakfast_2016,0.08029860750311985
State_of_the_Union_2011,0.05760638423579692
PM_Netanyahu_Speech,0.06437425321984251
Clean_Power_Plan,0.06321481448095127
Afghanistan_US_Troops_Bagram,0.06981794426323068
CIA_Intelligence_Community,0.05835769229505226
NCTC_2015,0.06601063096807074
Prayer_Breakfast_2010,0.06309475646533247
Mandela_Public_Memorial_Address,0.08583795283416602
Prayer_Breakfast_2014,0.10358755286319722
Fort_Bonifacio,0.09329484807333521
Aging_Conference_White_House,0.06588466349903657
Umpqua_Community_College_Shootings,0.07983655666977316
Kenya_People_Speech,0.05635212662490321
Kennedy_Center_Honorees_2016,0.08067647394181915
Hurricane_Sandy_ERT,0.03904147888124012
Carnegie_Robotics_Center,0.04443288201911688
Rose_Garden_Economy_and_Deficit,0.050855186726204864
South_Carolina_AME_Church_Shooting,0.07295495246810145
People_of_Greece,0.05637119593892619
Baton_Rouge_Flooding,0.057398830369757896
Aurora_Tragedy,0.06142668235563527
Speech_to_the_Vietnam_People,0.047137092507806504
Northern_Ireland_Speech,0.06417705958311815
Clinton_Global_Initiative_Human_Trafficking,0.07358916508977897
Cuba_Policy_Changes,0.04294124345181709
DDay_65,0.06987627214342045
Burundi_People_Message,0.08418473719504195
Laos_People,0.059524080377594095
NCCIC,0.05603700850467715
Merrick_Garland_USSC_Nomination,0.05542974371173748
MLK_Remembrance,0.04970372028376925
Carnegie_Mellon_Economy,0.04311709342665059
Turkish_Parliament,0.057599976949108976
State_of_the_Nation_2009,0.0513306604474751
Justice_Stevens_and_West_Virginia_Mining_Tragedy,0.07347936972671051
Katrina_10_Years,0.07062797615985762
Pope_Francis_White_House_Welcome,0.09956803035045594
ASU_Commencement,0.062148438892485496
British_Parliament,0.08404883295998153
Weekly_Address_Iraq_War_Service,0.05903314820778955
Benghazi_Remains_Transfer,0.05549187795409448
First_Press_Conference,0.06728468617834767
Middle_Class_Economy,0.08060771206495786
Syria_Speech_to_the_Nation,0.05061622686130762
Prayer_Breakfast_2015,0.08410323603704029
Korean_War_Armistice_60,0.042513694242390834
US_Military_Academy_Commencement_2014,0.039614757744910065
Global_Climate_Message,0.024768732285786414
Iraqi_Freedom_End,0.05765916005181055
Health_Care_Law_Signing,0.047072562404997374
Birth_Certificate_Release,0.06636423171769627
