title,main_topic_1_index,main_topic_1_weigth,main_topic_2_index,main_topic_2_weigth,main_topic_3_index,main_topic_3_weigth,main_topic_4_index,main_topic_4_weigth,main_topic_5_index,main_topic_5_weigth,main_topic_6_index,main_topic_6_weigth,main_topic_7_index,main_topic_7_weigth,main_topic_8_index,main_topic_8_weigth,main_topic_9_index,main_topic_9_weigth,main_topic_10_index,main_topic_10_weigth,main_topic_11_index,main_topic_11_weigth,main_topic_12_index,main_topic_12_weigth,main_topic_13_index,main_topic_13_weigth,main_topic_14_index,main_topic_14_weigth,main_topic_15_index,main_topic_15_weigth,main_topic_16_index,main_topic_16_weigth,main_topic_17_index,main_topic_17_weigth,main_topic_18_index,main_topic_18_weigth,main_topic_19_index,main_topic_19_weigth,main_topic_20_index,main_topic_20_weigth,main_topic_21_index,main_topic_21_weigth,main_topic_22_index,main_topic_22_weigth,main_topic_23_index,main_topic_23_weigth,main_topic_24_index,main_topic_24_weigth,main_topic_25_index,main_topic_25_weigth
Disabled_Veterans_Conference,23,0.47678831383582754,8,0.17345250768281864,4,0.020754533076562203,9,0.007777930008121918,21,0.005724969393640757,19,0.002881956626327718,3,0.002493371135074993,12,0.0005646401971042059,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
GW_Fiscal_Policy,1,0.3928511113409286,4,0.05570005663872666,9,0.01555055811580646,7,0.014724612117554004,20,0.010072070553666811,8,0.004871212583379431,13,3.296348601923519e-05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Oval_Office_BP,5,0.24743142505758642,20,0.03322217352283823,8,0.011222880956370317,19,0.0099888521737208,9,0.008884385761114501,13,0.001351437786985975,21,0.000927024486098536,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
GOP_House_Issues_Conference,1,0.1940843414805916,4,0.18383939884933562,22,0.06321216549739721,18,0.05994171710981364,10,0.017573233594171542,15,0.017400690835573045,21,0.008492079394155354,16,0.006922217596251561,5,0.006365307023992139,19,0.005530430914599338,23,0.005428617727802996,2,0.005014677837259061,9,0.004830903199819857,6,0.0041863551608872646,12,0.002472736093740478,8,0.0018695595421820063,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Energy_Security_Georgetown,5,0.3049396451663128,2,0.011940909648761386,14,0.0009005608955514695,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Senate_Floor_Speech_on_Voting_Rights_Act_Renewal,0,0.10688623088423321,10,0.038590267533406955,22,0.020695931805670437,24,0.005507588648206202,16,0.0051332076852288275,6,0.00446481248846642,9,0.003989181517347149,2,0.0016375759080367147,17,0.0013136977686269678,13,0.0002537010933099425,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DNC_2016,22,0.23537542586133353,0,0.03831034603546928,6,0.030387738001427873,14,0.028180284994378135,17,0.015648136544358746,23,0.01496505848213363,20,0.014660267334104466,5,0.0134525462676748,1,0.013282605884522016,4,0.012087010824178278,7,0.010318190133918739,3,0.007500850156739001,18,0.006575624197247483,12,0.004371171202459762,13,0.002921801582523581,8,0.0011743778894796066,2,0.0011727763064372865,21,0.00039730650601324904,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Brandenburg_Gate_Speech,7,0.1785105768797622,20,0.04175588611501098,2,0.025010021742113267,10,0.01104425030612398,16,0.0058491694308050995,5,0.002572882241019977,4,0.000316101459315492,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Righteous_Among_Nations_Ceremony,11,0.19315633750377414,20,0.16875118567824932,21,0.07364285147121764,22,0.002800643160986468,0,0.002451850381379429,4,0.002446579720130282,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
IRS_Misconduct,9,0.0893704288438028,17,0.037977114182634414,10,0.03486760899341168,22,0.0329664535665898,23,0.018355603874492445,1,0.017168452827269004,24,0.015265894007581108,18,0.014378235218171111,6,0.010983096866386538,16,0.008390291363208817,13,0.0060708411794629415,19,0.005970210243905155,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Joint_Presser_with_Raul_Castro,12,0.5726661518303725,19,0.016811614850339652,16,0.006901919088411553,15,0.006098447816453437,22,0.005828178686010251,4,0.00545069371160421,8,0.0048681641625885,14,0.003960151360566807,20,0.0037204179191407468,11,0.00326607592749775,3,0.002522794150672129,9,0.0011487564734419574,7,0.000899527925529377,13,0.0006435556436567826,6,0.0005241919171549381,1,0.00043565598252934403,23,0.00038023081830033674,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Merrick_Garland_USSC_Nomination,10,0.3788656222284459,14,0.0051827495007247095,20,0.0021633228252215357,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Affordable_Care_Act_Modifications_Presser,4,0.3026406526544938,2,0.08259192157920814,17,0.05793502582096106,22,0.029151957210093584,18,0.023931393776671226,16,0.02119162738167947,15,0.015184594626663063,10,0.00926541742294369,9,0.008974565190600201,23,0.005827392058859898,6,0.001192615886834424,12,0.0007687801263836695,5,0.0005910517211086036,3,0.00032198326486809244,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Iran_Nuclear_Accord,2,0.4206124241208833,20,0.005159508407034478,3,0.003651918857928214,8,0.0025073153015198147,19,0.0022044090346078926,7,0.0017348942233249506,5,0.0010964910260218912,23,0.0009923982418289091,11,6.0001673292566276e-05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Cyber_Infrastructure_US,24,0.5315534917109929,9,0.06807785070951393,8,0.013889622273416965,19,0.012115765101336554,7,0.009821101173258798,13,0.009592199157338036,2,0.0031557042048237136,5,0.001811152963640191,11,0.001005712546162038,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Afghanistan_US_Troops_Bagram,8,0.3225758272975571,9,0.027884697511860398,14,0.02483931705610393,20,0.018137722441999595,22,0.015039305274621717,19,0.0135493721332181,21,0.011050224184594653,15,0.0027307713626344814,4,0.0021534357124991057,12,0.0017755526341893975,13,0.0015967581411212033,17,0.000574734419314484,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
National_Security_National_Archives,9,0.20730880798747534,10,0.1788776831634508,8,0.04009731738785012,7,0.03326711085459515,18,0.014308323808108233,24,0.01250141183973416,17,0.008017340428741474,1,0.0057283751347081795,2,0.004893751021851349,4,0.004494404650105238,23,0.0024673337334781623,12,0.0016001374216578189,21,0.0002988768371924398,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
YLAI_2016,22,0.12091459423525806,15,0.10629649910908877,14,0.09640763889501806,12,0.08537649131863405,17,0.03978836039746915,7,0.038998238254519056,19,0.03593140150128648,4,0.015545598274950567,24,0.013667905269160124,0,0.007542211247652691,16,0.004476770263235938,21,0.003375255712205638,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Nurses_Association,4,0.3124976016030172,19,0.029472658533195757,20,0.020856497649239292,14,0.015527416725785316,24,0.011463962525601393,23,0.008301673700981052,18,0.0022077312170877867,8,0.00015432439229905515,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Veterans_Day_Address_2013,23,0.5548994180151912,8,0.03235398254562094,20,0.03217924324300641,4,0.003487225964208651,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
911_Pentagon_Memorial_2010,20,0.18754021733683932,8,0.047430885869879764,9,0.043193654681709166,21,0.0363437546080767,0,0.01549516323914392,7,0.01320599428472335,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
VOX_Interview,4,0.3754135566443536,22,0.04867161402558801,19,0.02666165415946338,1,0.010218294297930204,10,0.008895008139540526,23,0.006142192219154296,16,0.003203345199407369,12,0.003141784586899862,3,0.0014684265282960524,15,0.0008734696616890255,2,0.000795315053541652,6,0.0007626028824003874,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Gun_Violence_Reduction_Steps,6,0.39059349892409045,24,0.012570897178594167,4,0.007467211507698978,23,0.0037801845187245735,5,0.0019717703287600486,21,0.001822158795199727,7,0.0009013112751641558,2,0.0007035636796689406,19,7.413891116035058e-05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
US_Detainees_Released,2,0.3919082670816191,20,0.03348865561478452,14,0.0031861712378182605,24,0.0006796609425523358,23,0.0002772704744689589,9,0.00025212497751164287,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Pope_Francis_White_House_Welcome,20,0.1834541395752156,12,0.07633414469476359,21,0.054958795358526165,7,0.02220037269655227,0,0.002213641220244775,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Hostage_Policy_Review,9,0.11119354519500722,20,0.06783314425265163,3,0.045987409679159055,19,0.031902201205523846,24,0.03174329127971687,17,0.015884431328335856,18,0.0151606689034071,22,0.013499003953500253,23,0.012808430878559627,6,0.005702914357993924,12,0.00433406245739255,2,0.0023414143451956295,1,0.002207408405916365,4,0.0007517429281737463,13,0.0006114556765647443,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Graduation_Initiative,14,0.3138814062648811,18,0.0692699612776091,1,0.04797177847238012,5,0.025455309529863832,19,0.022790279881880263,4,0.009316073494376659,23,0.006100157429115984,8,0.005677336872573426,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
State_of_the_Union_2010,1,0.2010600750474161,18,0.16601179707924435,4,0.07580896994160798,5,0.05360884203937836,14,0.05347750596173004,8,0.037579651551424204,22,0.03385301522984497,7,0.027620195507259585,17,0.025766845613460515,2,0.019745811097125,9,0.010006168572451301,23,0.006089442695384076,20,0.005128048568142116,0,0.0035217289266770663,21,0.0034872067925872195,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Clean_Power_Plan,5,0.20836316410973585,4,0.02961575117262626,20,0.018079025142023485,1,0.017698195705689788,15,0.017090584347044527,7,0.012826502846751726,14,0.010145889696970766,3,0.0026952048844836297,8,0.0014491095078659672,6,0.0008319170100793453,22,0.0006025102556316128,0,0.0005249176345719629,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
American_Medical_Association,4,0.3258946232817167,19,0.08188838883133132,1,0.058262521256475644,18,0.04691481098978963,23,0.019906924661218132,14,0.005577007604925747,20,0.00082818232394417,21,0.0006461793535560649,12,0.0004427457274887713,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Hurricane_Sandy_Red_Cross,19,0.1444517230386893,9,0.06560912338580449,22,0.05117471008673679,20,0.04477635125529335,5,0.03974936913126165,16,0.0047159295345306,18,0.004310294677744913,6,0.0014359955209235263,10,0.001329418919462488,17,0.0011966704012083493,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Hostage_Drone_Death,9,0.1384261853631189,8,0.07697355089266664,20,0.05729362541277557,21,0.016222874463266267,11,0.0007021651622752818,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
